idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
baseline,baseline,1,20,346.5824,195.7158,652.8874,438.6551,474.9553,833.7476
baseline,baseline,2,10,237.0428,186.6187,339.4189,443.7764,489.8296,601.6463
idea001,design001,1,20,338.7810,190.0273,640.7959,433.9417,479.0442,823.6641
idea001,design001,2,10,214.0837,176.2248,290.9488,432.8408,486.0341,567.7334
idea001,design002,1,20,393.7632,185.5738,816.4508,439.1283,483.9059,972.4616
idea001,design003,1,20,408.4726,184.9053,862.3821,441.6582,483.6279,1017.6632
idea002,design001,1,20,351.0745,193.6393,670.7157,432.3982,482.2266,847.4633
idea002,design002,1,20,350.7081,185.1037,686.9354,438.1585,495.3963,867.1086
idea002,design003,1,20,339.7363,183.1560,657.6417,433.1531,485.6789,832.1533
idea002,design003,2,10,246.1853,155.0006,431.3180,429.2033,493.3690,653.8512
idea003,design001,1,20,365.3770,189.0484,723.3775,429.0543,478.4812,894.7118
idea003,design002,1,20,345.3484,190.8565,659.0136,429.6080,474.6561,832.6877
idea003,design002,2,10,218.9524,181.5034,294.9852,433.8355,488.2135,571.0143
idea003,design003,1,20,363.9250,187.6305,721.8563,479.3901,544.9333,930.6927
idea004,design001,1,20,336.5699,195.9466,622.0780,432.4716,479.6146,808.8201
idea004,design001,2,10,225.2912,185.7681,305.5351,437.3844,497.2978,574.8653
idea004,design002,1,20,362.7679,207.0642,678.8937,440.4218,478.8142,854.6435
idea004,design003,1,20,383.2977,208.2961,738.6040,431.9526,475.5101,893.0861
idea005,design001,1,20,381.0014,193.8060,761.0648,437.5177,474.6071,924.2123
idea005,design002,1,20,339.8313,195.0625,633.7556,438.4783,474.5804,816.1114
idea005,design002,2,10,231.8567,186.1488,324.6578,443.0082,489.1341,595.1402
idea005,design003,1,20,330.7831,192.3342,611.8761,435.6182,474.4541,799.8783
idea005,design003,2,10,229.9914,180.1733,331.1372,441.9526,492.2108,598.2050
idea006,design001,1,20,343.7437,196.4609,642.7723,438.5449,475.1658,822.1544
idea006,design001,2,10,231.6311,186.7068,322.8409,443.8414,490.0144,594.4033
idea006,design002,1,20,365.8456,195.0521,712.6080,442.1371,477.6600,884.2720
idea006,design003,1,20,353.2238,195.1700,674.1211,437.8616,474.5628,849.8060
idea007,design001,1,20,349.7025,198.8143,656.0512,439.9935,475.8725,832.2267
idea007,design002,1,20,339.7223,197.3514,628.7783,436.6502,473.3974,811.1241
idea007,design002,2,10,232.7720,186.7070,326.2981,442.9734,490.8656,596.1540
idea007,design003,1,20,353.9675,196.1216,674.4426,439.6026,476.8888,850.4283
idea008,design001,1,20,368.0919,195.4412,718.6252,425.8017,467.4534,879.5707
idea008,design002,1,20,333.6329,195.7756,613.5250,362.1541,463.1609,747.2466
idea008,design002,2,10,222.0355,186.1772,294.8387,340.0243,438.3230,480.8807
idea008,design003,1,20,362.9032,195.2115,703.3682,353.8937,451.6090,821.9087
idea009,design001,1,20,375.4640,195.8188,740.1984,440.6284,476.5925,904.8153
idea009,design002,1,20,349.0764,197.2199,657.3913,439.0691,475.8088,833.8796
idea009,design003,1,20,360.6511,194.4582,698.0732,436.7404,473.6625,869.5849
idea010,design001,1,20,357.2885,191.3129,694.2691,440.5286,479.6143,871.2228
idea010,design002,1,20,345.9538,191.6688,659.1993,439.1014,478.0223,838.9537
idea010,design002,2,10,224.9316,176.6182,323.0224,440.7082,488.2158,590.9493
idea010,design003,1,20,335.4450,195.1453,620.2959,439.2364,476.9098,805.5277
idea010,design003,2,10,225.9134,186.1982,306.5472,443.6441,489.6399,579.2263
idea011,design001,1,20,344.8617,192.3902,654.4250,437.2883,477.7909,838.5789
idea011,design001,2,10,213.1609,179.2799,281.9497,451.6011,504.7250,582.3156
idea011,design002,1,20,368.1474,191.1798,727.4452,437.5480,478.1626,902.8755
idea011,design003,1,20,360.2488,188.6388,708.6692,428.0469,472.2821,877.1043
idea012,design001,1,20,346.1358,216.9356,608.4515,444.3451,478.2208,799.9102
idea012,design001,2,10,240.2208,193.7338,334.6034,445.4212,494.8835,605.7667
idea012,design002,1,20,352.7921,216.6322,629.2380,443.1630,477.0043,818.5127
idea012,design003,1,20,373.5383,226.9800,671.0960,446.4281,478.5530,852.3497
idea013,design001,1,20,348.3288,194.1721,661.3135,424.6628,464.6188,830.4596
idea013,design002,1,20,378.7592,206.2180,729.0699,426.4217,463.5018,889.4047
idea013,design003,1,20,328.1413,188.8111,611.0239,430.3402,478.5844,788.1290
idea013,design003,2,10,203.0279,170.4791,269.1119,436.2294,497.3385,539.2068
idea014,design001,1,20,368.2141,214.2220,680.8648,434.2717,484.0369,850.7943
idea014,design002,1,20,385.8742,214.3608,734.0984,432.1165,478.9870,896.2151
idea014,design003,1,20,390.5585,198.6024,780.2875,431.9811,483.7206,937.6081
idea015,design001,1,20,367.8333,196.6555,715.3761,439.3208,479.7725,892.9226
idea015,design002,1,20,356.0671,197.2017,678.6119,428.4845,477.1663,850.3061
idea015,design003,1,20,366.9620,187.9383,730.4342,424.1292,483.8443,892.4798
idea016,design001,1,20,349.3184,193.2538,666.1769,437.5700,486.8785,851.3094
idea016,design002,1,20,347.8171,197.0901,653.8385,435.3378,475.1692,834.1312
idea016,design003,1,20,335.2958,194.5205,621.1123,436.5832,485.9503,805.7717
idea016,design003,2,10,226.2320,183.1535,313.6945,443.5579,505.8008,591.8507
idea017,design001,1,20,352.0878,186.9648,687.3374,356.9541,460.2464,814.2362
idea017,design002,1,20,356.4847,187.2785,700.0245,359.5499,463.6426,825.8141
idea017,design003,1,20,372.0345,184.8732,752.0285,361.5282,468.0847,868.7782
idea018,design001,1,20,378.8368,194.2596,753.5843,434.2844,482.0702,919.7748
idea018,design002,1,20,360.1002,194.2270,696.8729,433.1034,480.7887,863.8342
idea018,design003,1,20,365.4941,196.6485,708.3018,358.3050,455.9946,826.6324
idea019,design001,1,20,367.7534,203.4137,701.4129,437.6225,476.3813,873.6799
idea019,design002,1,20,359.0181,195.8065,690.3870,356.5737,453.7502,805.3576
idea019,design003,1,20,355.6887,195.0341,681.8661,352.9269,446.4926,801.2435
idea020,design001,1,20,352.6629,196.4782,669.7654,438.4829,474.6853,843.2448
idea020,design002,1,20,336.4365,198.0965,617.3085,439.1149,475.5639,800.2352
idea020,design002,2,10,250.9665,186.5894,381.6715,444.5466,490.6406,634.3703
idea020,design003,1,20,370.0464,198.5016,718.3344,438.3182,474.3334,881.2496
idea021,design001,1,20,344.8176,196.3280,646.2965,440.1028,476.4701,827.1927
idea021,design001,2,10,238.0232,185.3370,344.9922,443.4869,489.6248,606.6503
idea021,design002,1,20,350.1966,197.1028,661.0232,439.4087,475.4281,832.3017
idea021,design003,1,20,335.9429,197.6812,616.6561,438.6071,475.4709,796.9660
idea021,design003,2,10,225.1205,186.2464,304.0467,444.0513,490.5180,573.6005
idea022,design001,1,20,367.5457,193.8342,720.2327,434.0107,473.9397,890.8501
idea022,design002,1,20,413.5035,191.5156,864.2061,436.2277,481.3982,1009.4711
idea022,design003,1,20,446.9563,189.8003,969.0608,432.3933,477.6698,1097.4647
idea023,design001,1,20,323.7505,183.4321,608.6395,414.1833,459.1618,785.8725
idea023,design001,2,10,196.6532,162.7809,265.4243,432.9249,493.3126,553.6565
idea023,design002,1,20,350.8889,191.4750,674.5473,420.0349,460.5074,842.3547
idea023,design003,1,20,349.1900,195.8221,660.5735,418.8447,462.2048,827.2161
idea024,design001,1,20,337.8643,194.9109,628.1029,440.3831,477.4697,814.6602
idea024,design001,2,10,232.8330,184.6564,330.6460,441.6026,489.2281,597.9382
idea024,design002,1,20,433.2349,294.8807,714.1359,457.8892,462.4382,893.4153
idea024,design003,1,20,357.6911,196.7509,684.4486,436.5727,472.0254,856.5980
idea025,design001,1,20,349.2541,193.8223,664.8278,438.5216,477.0393,839.7855
idea025,design002,1,20,338.8688,192.3219,636.4034,436.6271,476.3984,819.9458
idea025,design002,2,10,217.7204,176.6227,301.1612,438.3730,493.7666,576.1489
idea025,design003,1,20,333.8613,195.8062,614.1550,437.9102,475.2151,800.3234
idea025,design003,2,10,239.0476,186.6304,345.4704,445.0577,491.2475,610.3089
idea026,design001,1,20,358.0998,179.5585,720.5928,430.8021,487.6520,880.8988
idea026,design002,1,20,363.8115,185.9110,725.0035,433.8618,479.9419,885.2315
idea026,design003,1,20,379.2120,181.5491,780.5277,431.9416,487.9898,934.7084
idea027,design001,1,20,367.1687,195.6359,715.4320,442.8715,487.6400,888.5974
idea027,design002,1,20,361.2640,192.4362,704.0355,443.8499,490.9394,885.1907
idea027,design003,1,20,402.5104,193.1039,827.6690,432.1973,476.6822,977.8500
idea028,design001,1,20,340.4984,186.3772,653.4113,426.1095,486.3045,836.0546
idea028,design001,2,10,214.4379,157.6507,329.7333,426.4678,497.7615,591.5446
idea028,design002,1,20,342.3713,188.2297,655.3254,428.9093,487.8589,831.5957
idea028,design002,2,10,221.9664,157.7655,352.3136,427.5315,501.4691,610.7459
idea028,design003,1,20,335.2775,185.5750,639.2190,422.7009,467.4534,815.9224
idea028,design003,2,10,199.4747,154.3040,291.1849,423.6254,485.3174,562.3913
idea029,design001,1,20,356.6564,194.1812,686.5303,439.3238,476.2468,862.9792
idea029,design002,1,20,332.2874,195.4138,610.1824,440.4788,477.5487,799.0221
idea029,design002,2,10,232.1002,184.2422,329.2666,443.3691,489.4143,598.7417
idea029,design003,1,20,380.8973,195.2281,757.8621,441.3936,478.8298,918.0955
idea030,design001,1,20,371.4862,192.1473,735.5984,435.9760,471.0790,905.1301
idea030,design002,1,20,409.2308,193.7536,846.7149,436.2414,472.3167,997.7803
idea030,design003,1,20,354.1731,191.2127,685.0321,420.9968,471.4054,846.9207
idea031,design001,1,20,350.2598,193.1337,669.2736,424.6978,479.7437,849.2981
idea031,design002,1,20,343.5219,192.5832,649.9733,423.4406,477.4124,833.2095
idea031,design002,2,10,208.9525,180.8856,265.9367,432.9644,502.6172,553.8310
idea031,design003,1,20,333.2748,192.0940,619.9147,425.3180,480.4000,808.2318
idea031,design003,2,10,214.3653,183.7078,276.6093,434.4338,503.6871,562.6137
idea032,design001,1,20,318.0666,189.3282,579.4445,436.0262,474.9103,780.8956
idea032,design001,2,10,218.2090,181.1857,293.3776,440.9204,490.0726,571.3059
idea032,design002,1,20,338.6852,189.2964,641.9896,437.0477,475.3049,830.5269
idea032,design002,2,10,224.1956,184.8382,304.1030,442.2760,489.2796,570.4491
idea032,design003,1,20,333.0000,189.5946,624.1562,436.8330,475.5752,815.7251
idea032,design003,2,10,217.2539,180.7912,291.2844,440.6877,489.6676,568.3594
idea033,design001,1,20,281.8219,186.4097,475.5377,424.3543,480.6610,695.0613
idea033,design001,2,10,223.5322,177.6540,316.6787,430.9773,498.3675,572.6305
idea033,design002,1,20,299.5145,194.4592,512.8085,424.8577,477.4706,713.0690
idea033,design002,2,10,221.7136,182.3912,301.5499,432.7744,500.2790,561.9712
idea033,design003,1,20,311.4468,199.9733,537.7719,427.7048,480.2743,736.8703
idea033,design003,2,10,219.3419,176.0764,307.1838,430.3633,501.7546,567.7872
idea034,design001,1,20,341.7490,192.9015,643.9543,431.1669,474.4077,816.6852
idea034,design002,1,20,356.0763,193.5904,685.9720,429.9267,476.0740,849.2466
